,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
15,4983,HND,901726,1021451,El Cerro Bonito,1,2,60,6,1,20.0,2,164.0,,,6.724
16,4982,HND,901726,1021451,El Cerro Bonito ,1,1,65,4,1,25.0,2,164.0,,,6.724
17,4981,HND,901726,1021451,El Cerro Bonito,1,1,59,4,0,,2,24.6,,,1.0086000000000002
18,4980,HND,901726,1021451,El Cerro Bonito,1,2,42,6,0,,2,20.5,,,0.8405
334,4664,HND,901732,1021545,Colonia torocagua,2,1,39,7,0,,2,123.0,,,5.043
335,4663,HND,901732,1021545,Colonia torocagua,2,2,47,3,0,,2,0.0,,,0.0
336,4662,HND,901732,1021545,Aldea rio abajo,1,1,45,6,0,,2,61.5,,,2.5215
337,4661,HND,901732,1021545,Col. La laguna,2,1,35,6,1,25.0,2,410.0,,,16.810000000000002
338,4660,HND,901732,1021545,Barrio abajo,1,1,35,4,0,,2,143.5,,,5.883500000000001
339,4659,HND,901732,1021545,Barrio abajo,1,1,48,5,0,,2,123.0,2.0,205.0,5.043
354,4644,HND,901732,1021569,Caser_o el B_falo ,1,1,40,4,0,,2,41.0,2.0,328.0,1.681
355,4643,HND,901732,1021557,Apasinigua ,1,1,53,5,0,,2,82.0,,,3.362
356,4642,HND,901732,1021557,Apasinigua ,1,1,43,3,0,,2,164.0,,,6.724
357,4641,HND,901732,1021557,Apasinigua ,2,1,50,8,0,,2,41.0,2.0,164.0,1.681
358,4640,HND,901732,1021557,Apasinigua ,2,2,48,5,0,,2,0.0,,,0.0
359,4639,HND,901732,1021557,Apasinigua ,2,1,19,4,0,,2,24.6,,,1.0086000000000002
360,4638,HND,901732,1021557,Apasinigua ,2,1,35,5,1,20.0,2,266.5,,,10.9265
