,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
0,4998,SLV,3,0,,200.0,0,1
1,4997,SLV,3,1,20.0,50.0,0,0
2,4996,SLV,4,0,,100.0,0,0
5,4993,SLV,4,1,,100.0,0,0
6,4992,SLV,1,1,,120.0,0,1
10,4988,SLV,3,0,,100.0,0,0
13,4985,SLV,5,1,,300.0,0,1
14,4984,SLV,2,0,,200.0,0,1
19,4979,SLV,0,1,,4.0,0,0
20,4978,SLV,7,0,,15.0,0,0
22,4976,SLV,5,0,,60.0,0,1
23,4975,SLV,4,1,,80.0,0,0
24,4974,SLV,4,0,,100.0,0,0
27,4971,SLV,6,1,40.0,200.0,0,0
28,4970,SLV,1,0,,20.0,0,0
29,4969,SLV,5,1,,400.0,0,0
30,4968,SLV,4,0,,25.0,0,0
31,4967,SLV,4,1,30.0,70.0,0,0
32,4966,SLV,5,1,,300.0,0,0
33,4965,SLV,4,1,100.0,100.0,0,0
35,4963,SLV,3,0,,600.0,0,0
38,4960,SLV,3,0,,30.0,0,0
39,4959,SLV,2,1,20.0,60.0,0,0
41,4957,SLV,3,0,,50.0,1,0
42,4956,SLV,3,0,,150.0,0,0
43,4955,SLV,1,1,50.0,30.0,0,0
44,4954,SLV,4,0,,25.0,0,0
47,4951,SLV,2,1,20.0,50.0,0,0
48,4950,SLV,3,1,20.0,30.0,0,0
49,4949,SLV,4,0,,10.0,0,0
50,4948,SLV,1,0,,100.0,1,0
51,4947,SLV,5,0,,25.0,0,0
53,4945,SLV,2,1,10.0,10.0,0,0
54,4944,SLV,3,0,,50.0,0,1
55,4943,SLV,6,0,,300.0,0,0
56,4942,SLV,3,1,,15.0,0,0
57,4941,SLV,5,0,,60.0,0,0
59,4939,SLV,7,1,35.0,50.0,0,0
60,4938,SLV,7,0,,210.0,0,0
63,4935,SLV,6,0,,300.0,0,1
65,4933,SLV,5,0,,15.0,0,0
66,4932,SLV,5,0,,30.0,0,0
68,4930,SLV,5,0,,150.0,0,0
73,4925,SLV,4,1,,100.0,0,0
74,4924,SLV,5,0,,900.0,0,0
76,4922,SLV,2,0,,200.0,0,0
77,4921,SLV,2,0,,40.0,1,0
79,4919,SLV,5,0,,600.0,0,0
80,4918,SLV,3,0,,100.0,0,1
82,4916,SLV,4,1,,70.0,0,0
84,4914,SLV,5,1,,100.0,0,0
85,4913,SLV,1,1,,240.0,0,1
88,4910,SLV,4,0,,20.0,0,0
89,4909,SLV,4,1,,200.0,0,0
90,4908,SLV,5,1,,200.0,0,0
91,4907,SLV,2,1,40.0,6.0,0,0
92,4906,SLV,3,0,,50.0,0,1
93,4905,SLV,3,1,,60.0,0,0
95,4903,SLV,4,1,,30.0,0,0
97,4901,SLV,2,0,,300.0,0,0
98,4900,SLV,2,1,100.0,800.0,0,0
99,4899,SLV,5,0,,75.0,0,0
100,4898,SLV,2,1,50.0,300.0,0,0
102,4896,SLV,5,0,,150.0,0,0
103,4895,SLV,3,0,,50.0,0,0
104,4894,SLV,5,1,25.0,700.0,0,0
106,4892,SLV,3,1,,300.0,0,0
108,4890,SLV,5,0,,500.0,0,0
110,4888,SLV,5,0,,400.0,0,0
111,4887,SLV,4,0,,300.0,0,1
112,4886,SLV,5,0,,400.0,0,0
113,4885,SLV,4,0,,100.0,0,0
114,4884,SLV,5,1,,210.0,0,0
115,4883,SLV,1,1,,20.0,0,0
117,4881,SLV,5,1,,430.0,0,0
119,4879,SLV,6,1,25.0,35.0,0,0
120,4878,SLV,4,0,,150.0,0,0
122,4876,SLV,4,1,10.0,500.0,1,0
124,4874,SLV,4,0,,480.0,0,0
128,4870,SLV,6,0,,300.0,1,1
129,4869,SLV,5,0,,800.0,0,0
130,4868,SLV,5,0,,350.0,0,0
131,4867,SLV,3,1,,200.0,0,0
132,4866,SLV,6,1,100.0,600.0,0,1
133,4865,SLV,5,0,,150.0,0,0
134,4864,SLV,7,1,,900.0,0,0
135,4863,SLV,2,0,,300.0,0,1
138,4860,SLV,3,1,,100.0,0,0
139,4859,SLV,4,0,,500.0,0,0
140,4858,SLV,5,0,,70.0,0,0
141,4857,SLV,2,0,,250.0,0,0
144,4854,SLV,3,1,,200.0,0,0
150,4848,SLV,9,0,,250.0,0,0
151,4847,SLV,4,0,,25.0,0,0
152,4846,SLV,3,0,,20.0,0,0
153,4845,SLV,7,0,,900.0,0,1
154,4844,SLV,6,0,,200.0,0,1
155,4843,SLV,4,0,,50.0,0,1
156,4842,SLV,4,0,,50.0,0,1
160,4838,SLV,7,0,,4.0,0,0
166,4832,SLV,5,0,,50.0,0,0
167,4831,SLV,5,0,,20.0,0,0
168,4830,SLV,4,0,,80.0,0,0
184,4814,SLV,5,0,,400.0,0,0
188,4810,SLV,6,0,,200.0,0,1
190,4808,SLV,3,1,,200.0,0,0
192,4806,SLV,5,0,,300.0,0,1
195,4803,SLV,2,1,50.0,60.0,0,0
197,4801,SLV,4,0,,30.0,0,0
198,4800,SLV,6,0,,1000.0,0,1
200,4798,SLV,2,1,60.0,200.0,0,1
201,4797,SLV,3,1,20.0,300.0,0,1
205,4793,SLV,6,0,,180.0,0,0
207,4791,SLV,4,1,,40.0,0,0
209,4789,SLV,3,0,,240.0,0,0
210,4788,SLV,2,0,,110.0,0,0
212,4786,SLV,5,1,25.0,1500.0,0,0
213,4785,SLV,3,0,,500.0,0,0
214,4784,SLV,3,1,25.0,160.0,0,1
215,4783,SLV,2,1,,52.0,0,0
216,4782,SLV,2,1,,1200.0,0,1
217,4781,SLV,5,1,50.0,50.0,0,0
219,4779,SLV,3,1,,100.0,0,0
220,4778,SLV,1,0,,1.014,0,0
